City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Qaanaaq,GL,77.484,-69.3632,39.18,71,85,6.26,overcast clouds
1,Dikson,RU,73.5069,80.5464,39.29,87,31,11.99,scattered clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,45.64,95,100,21.16,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,70,20,11.5,few clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,73.54,83,38,13.0,scattered clouds
5,Esfahan,IR,32.6572,51.6776,94.64,9,8,18.43,clear sky
6,Coihaique,CL,-45.5752,-72.0662,44.55,53,40,5.75,scattered clouds
7,Sioux Lookout,CA,50.1001,-91.917,77.52,35,6,10.89,clear sky
8,Talnakh,RU,69.4865,88.3972,55.26,93,100,5.39,overcast clouds
9,Jamestown,US,42.097,-79.2353,81.72,69,75,8.05,broken clouds
10,Vaini,TO,-21.2,-175.2,68.16,94,20,2.3,fog
11,Rincon,US,32.296,-81.2354,86.45,68,75,6.91,broken clouds
12,Pedernales,DO,18.0384,-71.744,84.43,68,21,6.91,few clouds
13,Angoche,MZ,-16.2325,39.9086,71.74,57,56,13.91,broken clouds
14,Victoria,HK,22.2855,114.1577,86.38,82,5,1.01,clear sky
15,Butaritari,KI,3.0707,172.7902,81.68,77,11,10.74,light rain
16,Bredasdorp,ZA,-34.5322,20.0403,60.28,59,100,3.69,overcast clouds
17,Yinchuan,CN,38.4681,106.2731,78.93,48,100,6.49,overcast clouds
18,Thana,PK,34.6369,72.0739,90.28,47,1,3.33,clear sky
19,Bengkulu,ID,-3.8004,102.2655,76.93,89,3,4.79,clear sky
20,Luorong,CN,24.4058,109.6086,81.7,75,9,3.56,clear sky
21,Lagoa,PT,39.05,-27.9833,69.3,82,100,12.93,overcast clouds
22,Matagami,CA,49.7502,-77.6328,69.91,83,40,11.5,scattered clouds
23,Norman Wells,CA,65.282,-126.8329,61.34,46,85,4.05,overcast clouds
24,Vao,NC,-22.6667,167.4833,70.92,77,56,13.35,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,62.13,51,28,10.38,scattered clouds
26,Thompson,CA,55.7435,-97.8558,59.77,34,92,9.69,overcast clouds
27,Codrington,AU,-38.2667,141.9667,50.31,93,97,14.5,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,48.47,88,100,4.63,moderate rain
29,Cururupu,BR,-1.8283,-44.8683,88.45,49,78,5.7,broken clouds
30,Bilma,NE,18.6853,12.9164,101.41,25,64,2.8,broken clouds
31,Provideniya,RU,64.3833,-173.3,46.69,99,100,7.27,light rain
32,Aykino,RU,62.2248,49.9922,58.6,60,80,5.35,broken clouds
33,Bluff,NZ,-46.6,168.3333,48.79,83,100,5.21,overcast clouds
34,Los Llanos De Aridane,ES,28.6585,-17.9182,77.13,76,20,17.27,few clouds
35,Sitka,US,57.0531,-135.33,55.29,82,90,0.0,overcast clouds
36,Castro,BR,-24.7911,-50.0119,70.2,39,1,9.69,clear sky
37,Salta,AR,-24.7859,-65.4117,79.57,26,22,4.0,few clouds
38,Tiksi,RU,71.6872,128.8694,46.74,79,79,5.99,broken clouds
39,Ponta Do Sol,PT,32.6667,-17.1,81.72,71,3,4.09,clear sky
40,Kuah,MY,6.3265,99.8432,85.32,69,85,5.19,overcast clouds
41,Ostrovnoy,RU,68.0531,39.5131,46.72,82,93,18.3,overcast clouds
42,Lianran,CN,24.9227,102.485,59.0,93,62,1.66,moderate rain
43,Rongcheng,CN,30.634,117.8517,75.74,97,100,6.26,overcast clouds
44,Khatanga,RU,71.9667,102.5,55.74,71,45,6.96,scattered clouds
45,Atuona,PF,-9.8,-139.0333,78.33,65,50,23.58,scattered clouds
46,Huarmey,PE,-10.0681,-78.1522,67.06,76,22,5.95,few clouds
47,Soyo,AO,-6.1349,12.3689,75.49,77,39,8.55,scattered clouds
48,Bethel,US,41.3712,-73.414,74.48,88,90,1.01,overcast clouds
49,Thinadhoo,MV,0.5333,72.9333,82.47,69,53,3.49,broken clouds
50,Urusha,RU,54.05,122.9,58.17,98,100,3.4,light rain
51,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,8.05,broken clouds
52,Busselton,AU,-33.65,115.3333,58.08,67,39,18.77,scattered clouds
53,Rikitea,PF,-23.1203,-134.9692,69.89,65,96,4.07,overcast clouds
54,Parabel,RU,58.6978,81.4825,68.13,71,7,7.2,clear sky
55,Tefe,BR,-3.3542,-64.7114,84.31,84,20,4.61,few clouds
56,Albany,US,42.6001,-73.9662,74.53,77,97,5.41,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,39.31,81,20,14.97,few clouds
58,Naze,JP,28.3667,129.4833,78.06,89,100,18.14,moderate rain
59,Carnarvon,AU,-24.8667,113.6333,59.07,67,0,9.22,clear sky
60,Derzhavinsk,KZ,51.1,66.3167,72.16,40,1,8.93,clear sky
61,Rawson,AR,-43.3002,-65.1023,51.93,33,21,21.14,few clouds
62,Hasaki,JP,35.7333,140.8333,77.4,79,0,12.5,clear sky
63,Nikolskoye,RU,59.7035,30.7861,72.79,46,68,5.68,broken clouds
64,Kruisfontein,ZA,-34.0033,24.7314,55.89,43,49,1.39,scattered clouds
65,Guantanamo,CU,20.1444,-75.2092,87.37,51,52,6.17,broken clouds
66,Hambantota,LK,6.1241,81.1185,80.29,79,73,17.74,broken clouds
67,Deming,US,32.2687,-107.7586,75.24,53,1,3.44,clear sky
68,Kargasok,RU,59.0556,80.8572,67.96,66,25,6.35,scattered clouds
69,Alpena,US,45.0617,-83.4327,80.92,50,1,8.05,clear sky
70,Hithadhoo,MV,-0.6,73.0833,80.65,77,80,4.14,light rain
71,Oliveira,BR,-20.6964,-44.8272,75.31,23,0,7.34,clear sky
72,Yellowknife,CA,62.456,-114.3525,58.28,58,10,5.99,clear sky
73,Taikang,CN,46.8333,124.4167,70.2,96,100,6.13,light rain
74,Lima,PE,-12.0432,-77.0282,63.14,72,90,8.05,overcast clouds
75,Ola,RU,59.5833,151.2833,53.28,96,100,3.13,light rain
76,New Norfolk,AU,-42.7826,147.0587,42.66,70,74,4.0,broken clouds
77,Mahebourg,MU,-20.4081,57.7,70.25,59,1,15.93,clear sky
78,Tasiilaq,GL,65.6145,-37.6368,46.56,88,67,1.32,broken clouds
79,Touros,BR,-5.1989,-35.4608,85.1,55,18,18.68,few clouds
80,Hobart,AU,-42.8794,147.3294,43.02,75,63,1.99,broken clouds
81,Geraldton,AU,-28.7667,114.6,50.41,93,0,11.5,clear sky
82,Narsaq,GL,60.9167,-46.05,57.42,44,100,4.07,overcast clouds
83,Saldanha,ZA,-33.0117,17.9442,62.13,52,100,13.02,overcast clouds
84,Cabedelo,BR,-6.9811,-34.8339,75.87,68,9,16.08,clear sky
85,Tumarbong,PH,10.3766,119.4579,80.49,80,100,4.94,overcast clouds
86,Aktash,RU,50.3,87.7333,49.3,89,61,3.76,broken clouds
87,Gejiu,CN,23.306,103.1635,55.69,95,100,1.54,overcast clouds
88,East London,ZA,-33.0153,27.9116,63.91,56,8,11.43,clear sky
89,Warrnambool,AU,-38.3833,142.4833,51.82,90,94,18.7,overcast clouds
90,Grants Pass,US,42.439,-123.3284,77.18,55,1,6.91,clear sky
91,Luau,AO,-10.7073,22.2247,78.57,22,1,6.26,clear sky
92,Surt,LY,31.2089,16.5887,83.37,56,0,13.13,clear sky
93,Pacific Grove,US,36.6177,-121.9166,62.58,92,90,0.0,overcast clouds
