City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,-21.2,-175.2,73.56,100,75,5.75
1,Puerto Ayora,EC,-0.7393,-90.3518,72.55,85,94,8.01
2,Ponta Do Sol,PT,32.6667,-17.1,81.72,61,7,3.49
3,Sabinas Hidalgo,MX,26.5,-100.1667,74.88,81,8,4.14
4,Klaksvik,FO,62.2266,-6.589,56.32,93,100,17.4
5,Nouadhibou,MR,20.931,-17.0347,78.78,57,40,19.57
6,Stornoway,GB,58.2093,-6.3865,65.93,88,20,9.22
7,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,20,19.57
8,Avarua,CK,-21.2078,-159.775,71.65,100,90,5.75
9,Busselton,AU,-33.65,115.3333,55.44,63,98,16.24
10,Yellowknife,CA,62.456,-114.3525,58.32,96,100,5.75
11,Turukhansk,RU,65.8167,87.9833,74.16,49,76,9.17
12,Rikitea,PF,-23.1203,-134.9692,73.08,78,15,19.26
13,Salalah,OM,17.0151,54.0924,82.49,83,90,11.5
14,Tiarei,PF,-17.5333,-149.3333,71.62,68,2,14.25
15,Albany,US,42.6001,-73.9662,67.75,73,48,4.16
16,Mandalgovi,MN,45.7625,106.2708,76.33,25,100,4.07
17,Hobart,AU,-42.8794,147.3294,47.26,72,20,3.0
18,Port Alfred,ZA,-33.5906,26.891,55.4,61,90,11.61
19,Natal,BR,-5.795,-35.2094,80.82,69,40,12.66
20,Samana,DO,19.2056,-69.3369,79.02,94,20,0.0
21,Namatanai,PG,-3.6667,152.4333,79.5,80,80,7.99
22,Tuatapere,NZ,-46.1333,167.6833,46.81,90,89,6.11
23,Ambon,ID,-3.6954,128.1814,78.94,89,40,3.44
24,Mataura,NZ,-46.1927,168.8643,46.47,93,52,3.29
25,Ust-Tsilma,RU,65.441,52.1498,59.59,52,82,4.21
26,Cape Town,ZA,-33.9258,18.4232,62.11,33,0,3.44
27,Port Elizabeth,ZA,-33.918,25.5701,55.69,58,75,10.36
28,Qaanaaq,GL,77.484,-69.3632,39.96,67,29,5.06
29,Thompson,CA,55.7435,-97.8558,68.16,83,40,16.11
30,Hilo,US,19.7297,-155.09,73.13,94,90,3.44
31,Lewisporte,CA,49.2499,-55.0482,53.31,99,100,7.27
32,Severo-Kurilsk,RU,50.6789,156.125,52.83,95,100,6.4
33,Sinnamary,GF,5.3833,-52.95,79.61,86,56,8.95
34,Korem,ET,12.5058,39.5228,62.51,62,100,8.48
35,Bredasdorp,ZA,-34.5322,20.0403,58.32,51,4,13.8
36,Talnakh,RU,69.4865,88.3972,63.95,39,94,3.36
37,Dikson,RU,73.5069,80.5464,39.65,86,100,11.18
38,Ushuaia,AR,-54.8,-68.3,38.86,65,20,10.36
